rank,name,nationality,rating,RD
1,Jannik Sinner,ITA,2040.4,85.6
2,Carlos Alcaraz,ESP,2032.2,79.6
3,Novak Djokovic,SRB,1919.9,87.9
4,Lorenzo Musetti,ITA,1803.4,75.1
5,Alexander Zverev,GER,1801.4,74.8
6,Jack Draper,GBR,1785.9,79.6
7,Tommy Paul,USA,1776.4,77.7
8,Alex de Minaur,AUS,1771.5,78.1
9,Matteo Berrettini,ITA,1770.8,89.3
10,Daniil Medvedev,RUS,1768.6,82.6
11,Grigor Dimitrov,BUL,1766.3,86.9
12,Holger Rune,DEN,1761.5,80.6
13,Casper Ruud,NOR,1737.2,77.0
14,Hubert Hurkacz,POL,1735.1,83.7
15,Stefanos Tsitsipas,GRE,1724.3,80.4
16,Taylor Fritz,USA,1708.9,81.6
17,Arthur Fils,FRA,1704.7,80.5
18,Jenson Brooksby,USA,1688.0,100.4
19,Jakub Mensik,CZE,1685.3,87.5
20,Alexander Bublik,KAZ,1683.1,73.0
