rank,name,nationality,rating,RD
1,Jannik Sinner,ITA,2041.6,88.6
2,Carlos Alcaraz,ESP,2000.5,83.2
3,Novak Djokovic,SRB,1963.2,93.2
4,Taylor Fritz,USA,1814.3,75.2
5,Grigor Dimitrov,BUL,1810.6,90.3
6,Alexander Zverev,GER,1795.0,79.8
7,Jack Draper,GBR,1779.0,85.4
8,Daniil Medvedev,RUS,1766.8,83.6
9,Alex de Minaur,AUS,1766.3,83.5
10,Hubert Hurkacz,POL,1755.1,93.7
11,Jiri Lehecka,CZE,1718.5,82.1
12,Tommy Paul,USA,1704.4,86.0
13,Holger Rune,DEN,1703.7,86.1
14,Matteo Berrettini,ITA,1702.0,94.1
15,Casper Ruud,NOR,1699.6,91.8
16,Stefanos Tsitsipas,GRE,1692.3,88.5
17,Sebastian Korda,USA,1689.6,93.1
18,Andrey Rublev,RUS,1687.5,82.5
19,Lorenzo Musetti,ITA,1686.1,87.2
20,Karen Khachanov,RUS,1676.4,78.3
