rank,name,nationality,rating,RD
1,Jannik Sinner,ITA,2097.5,79.8
2,Carlos Alcaraz,ESP,2016.4,70.3
3,Novak Djokovic,SRB,1931.2,82.5
4,Jack Draper,GBR,1848.1,79.8
5,Alexander Zverev,GER,1804.0,67.9
6,Grigor Dimitrov,BUL,1802.3,83.8
7,Taylor Fritz,USA,1791.2,62.7
8,Alex de Minaur,AUS,1780.8,67.0
9,Ben Shelton,USA,1755.4,65.9
10,Jakub Mensik,CZE,1732.6,74.6
11,Daniil Medvedev,RUS,1729.4,69.3
12,Holger Rune,DEN,1724.4,69.8
13,Jiri Lehecka,CZE,1722.7,69.6
14,Hubert Hurkacz,POL,1716.4,87.6
15,Tommy Paul,USA,1708.5,75.5
16,Felix Auger-Aliassime,CAN,1699.9,69.6
17,Tomas Machac,CZE,1693.9,76.1
18,Karen Khachanov,RUS,1688.9,68.9
19,Lorenzo Musetti,ITA,1687.9,67.2
20,Arthur Fils,FRA,1679.3,78.5
